name,salary,year
Stephen Curry,"$45,780,966",2022
John Wall,"$44,310,840",2022
Kevin Durant,"$42,018,900",2022
Giannis Antetokounmpo,"$39,344,970",2022
Kawhi Leonard,"$39,344,900",2022
Klay Thompson,"$37,980,720",2022
Tobias Harris,"$35,995,950",2022
Anthony Davis,"$35,361,360",2022
Kyrie Irving,"$35,328,700",2022
Pascal Siakam,"$33,003,936",2022
Jrue Holiday,"$32,413,333",2022
Devin Booker,"$31,650,600",2022
Joel Embiid,"$31,579,390",2022
Nikola Jokic,"$31,579,390",2022
CJ McCollum,"$30,864,198",2022
Chris Paul,"$30,000,000",2022
Jamal Murray,"$29,467,800",2022
De'Aaron Fox,"$28,103,550",2022
Donovan Mitchell,"$28,103,500",2022
Al Horford,"$27,000,000",2022
James Harden,"$44,310,840",2022
Russell Westbrook,"$44,211,146",2022
LeBron James,"$41,180,544",2022
Damian Lillard,"$39,344,900",2022
Paul George,"$39,344,900",2022
Jimmy Butler,"$36,016,200",2022
Khris Middleton,"$35,500,000",2022
Rudy Gobert,"$35,344,828",2022
Bradley Beal,"$33,724,200",2022
Ben Simmons,"$33,003,936",2022
Kristaps Porzingis,"$31,650,600",2022
Karl-Anthony Towns,"$31,650,600",2022
Andrew Wiggins,"$31,579,390",2022
Kevin Love,"$31,258,256",2022
D'Angelo Russell,"$30,013,500",2022
Gordon Hayward,"$29,925,000",2022
Brandon Ingram,"$29,467,800",2022
Bam Adebayo,"$28,103,500",2022
Jayson Tatum,"$28,103,500",2022
Kyle Lowry,"$26,894,128",2022
Kobe Bryant,"$25,000,000",2016
Carmelo Anthony,"$22,875,000",2016
Chris Bosh,"$22,192,730",2016
Kevin Durant,"$20,158,622",2016
Dwyane Wade,"$20,000,000",2016
Brook Lopez,"$19,689,000",2016
Kevin Love,"$19,689,000",2016
Blake Griffin,"$18,907,726",2016
Paul George,"$17,120,106",2016
Kyrie Irving,"$16,407,501",2016
Wesley Matthews,"$16,407,500",2016
Kawhi Leonard,"$16,407,500",2016
Tobias Harris,"$16,000,000",2016
DeMarcus Cousins,"$15,851,950",2016
Roy Hibbert,"$15,592,217",2016
Klay Thompson,"$15,501,000",2016
Chandler Parsons,"$15,361,500",2016
Khris Middleton,"$14,700,000",2016
Tristan Thompson,"$14,260,870",2016
Reggie Jackson,"$13,913,044",2016
LeBron James,"$22,970,500",2016
Dwight Howard,"$22,359,364",2016
Chris Paul,"$21,468,695",2016
Derrick Rose,"$20,093,064",2016
LaMarcus Aldridge,"$19,689,000",2016
DeAndre Jordan,"$19,689,000",2016
Marc Gasol,"$19,688,000",2016
Paul Millsap,"$18,671,659",2016
Russell Westbrook,"$16,744,218",2016
Greg Monroe,"$16,407,500",2016
Jimmy Butler,"$16,407,500",2016
Enes Freedom,"$16,407,500",2016
John Wall,"$15,851,950",2016
James Harden,"$15,756,438",2016
Eric Gordon,"$15,514,031",2016
Gordon Hayward,"$15,409,570",2016
Goran Dragic,"$14,783,000",2016
Draymond Green,"$14,260,870",2016
Danilo Gallinari,"$14,000,000",2016
Andrew Bogut,"$13,800,000",2016
Stephen Curry,"$40,231,758",2020
Russell Westbrook,"$38,506,482",2020
Kevin Durant,"$38,199,000",2020
LeBron James,"$37,436,858",2020
Blake Griffin,"$34,449,964",2020
Jimmy Butler,"$32,742,000",2020
Klay Thompson,"$32,742,000",2020
Gordon Hayward,"$32,700,690",2020
Kyrie Irving,"$31,742,000",2020
Paul George,"$30,560,700",2020
Damian Lillard,"$29,802,321",2020
Nikola Vucevic,"$28,000,000",2020
DeMar DeRozan,"$27,739,975",2020
Joel Embiid,"$27,504,630",2020
Nikola Jokic,"$27,504,630",2020
Devin Booker,"$27,285,000",2020
Karl-Anthony Towns,"$27,285,000",2020
Bradley Beal,"$27,093,019",2020
Anthony Davis,"$27,093,018",2020
Jrue Holiday,"$26,231,111",2020
Chris Paul,"$38,506,482",2020
James Harden,"$38,199,000",2020
John Wall,"$38,199,000",2020
Kyle Lowry,"$34,996,296",2020
Tobias Harris,"$32,742,000",2020
Kawhi Leonard,"$32,742,000",2020
Kemba Walker,"$32,742,000",2020
Mike Conley,"$32,511,624",2020
Khris Middleton,"$30,603,448",2020
Paul Millsap,"$30,350,000",2020
Kevin Love,"$28,942,830",2020
Al Horford,"$28,000,000",2020
CJ McCollum,"$27,556,959",2020
Andrew Wiggins,"$27,504,630",2020
Kristaps Porzingis,"$27,285,000",2020
D'Angelo Russell,"$27,285,000",2020
Otto Porter Jr.,"$27,250,575",2020
Andre Drummond,"$27,093,019",2020
Hassan Whiteside,"$27,093,017",2020
LaMarcus Aldridge,"$26,000,000",2020
Stephen Curry,"$37,457,154",2019
Russell Westbrook,"$35,654,150",2019
Blake Griffin,"$32,088,932",2019
Kyle Lowry,"$31,200,000",2019
Mike Conley,"$30,521,115",2019
Kevin Durant,"$30,000,000",2019
Al Horford,"$28,928,709",2019
DeMar DeRozan,"$27,739,975",2019
Jrue Holiday,"$25,976,111",2019
Joel Embiid,"$25,467,250",2019
Bradley Beal,"$25,434,263",2019
Andre Drummond,"$25,434,263",2019
Nikola Jokic,"$24,605,181",2019
Giannis Antetokounmpo,"$24,157,303",2019
Kevin Love,"$24,119,025",2019
Chandler Parsons,"$24,107,258",2019
Rudy Gobert,"$23,241,573",2019
DeAndre Jordan,"$22,897,200",2019
Serge Ibaka,"$21,666,667",2019
Danilo Gallinari,"$21,587,579",2019
Chris Paul,"$35,654,150",2019
LeBron James,"$35,654,150",2019
Gordon Hayward,"$31,214,295",2019
Paul George,"$30,560,700",2019
James Harden,"$30,421,854",2019
Paul Millsap,"$29,230,769",2019
Damian Lillard,"$27,977,689",2019
Otto Porter Jr.,"$26,011,913",2019
CJ McCollum,"$25,759,766",2019
Andrew Wiggins,"$25,467,250",2019
Anthony Davis,"$25,434,263",2019
Hassan Whiteside,"$25,434,262",2019
Steven Adams,"$24,157,303",2019
Marc Gasol,"$24,119,025",2019
Harrison Barnes,"$24,107,258",2019
Nicolas Batum,"$24,000,000",2019
Kawhi Leonard,"$23,114,067",2019
LaMarcus Aldridge,"$22,347,015",2019
Aaron Gordon,"$21,590,909",2019
Victor Oladipo,"$21,000,000",2019
LeBron James,"$30,963,450",2017
James Harden,"$26,540,100",2017
Russell Westbrook,"$26,540,100",2017
Al Horford,"$26,540,100",2017
Carmelo Anthony,"$24,559,380",2017
Chris Bosh,"$23,741,060",2017
Dwight Howard,"$23,180,275",2017
Bradley Beal,"$22,116,750",2017
Harrison Barnes,"$22,116,750",2017
Andre Drummond,"$22,116,750",2017
Derrick Rose,"$21,323,252",2017
Brook Lopez,"$21,165,675",2017
Kevin Love,"$21,165,675",2017
LaMarcus Aldridge,"$20,575,005",2017
Paul Millsap,"$20,072,033",2017
Allen Crabbe,"$18,500,000",2017
Luol Deng,"$18,000,000",2017
Kawhi Leonard,"$17,638,063",2017
Tobias Harris,"$17,200,000",2017
Wesley Matthews,"$17,145,838",2017
Mike Conley,"$26,540,100",2017
Kevin Durant,"$26,540,100",2017
DeMar DeRozan,"$26,540,100",2017
Dirk Nowitzki,"$25,000,000",2017
Damian Lillard,"$24,328,425",2017
Dwyane Wade,"$23,200,000",2017
Chris Paul,"$22,868,827",2017
Hassan Whiteside,"$22,116,750",2017
Anthony Davis,"$22,116,750",2017
Chandler Parsons,"$22,116,750",2017
Marc Gasol,"$21,165,675",2017
DeAndre Jordan,"$21,165,675",2017
Nicolas Batum,"$20,869,566",2017
Blake Griffin,"$20,140,839",2017
Ryan Anderson,"$18,735,364",2017
Paul George,"$18,314,532",2017
Kyrie Irving,"$17,638,063",2017
Jimmy Butler,"$17,552,209",2017
Greg Monroe,"$17,145,838",2017
Enes Freedom,"$17,145,838",2017
Stephen Curry,"$43,006,362",2021
Russell Westbrook,"$41,358,814",2021
John Wall,"$41,254,920",2021
LeBron James,"$39,219,565",2021
Klay Thompson,"$35,361,360",2021
Jimmy Butler,"$34,379,100",2021
Kemba Walker,"$34,379,100",2021
Khris Middleton,"$33,051,724",2021
Kyrie Irving,"$31,742,000",2021
Kevin Love,"$31,258,256",2021
Ben Simmons,"$30,559,200",2021
Steven Adams,"$29,592,696",2021
Andrew Wiggins,"$29,542,010",2021
Kristaps Porzingis,"$29,467,800",2021
Karl-Anthony Towns,"$29,467,800",2021
Bradley Beal,"$28,751,775",2021
Gordon Hayward,"$28,500,000",2021
DeMar DeRozan,"$27,739,975",2021
Rudy Gobert,"$27,525,281",2021
Jamal Murray,"$27,285,000",2021
Chris Paul,"$41,358,814",2021
James Harden,"$41,254,920",2021
Kevin Durant,"$40,108,950",2021
Paul George,"$35,450,412",2021
Mike Conley,"$34,502,130",2021
Kawhi Leonard,"$34,379,100",2021
Tobias Harris,"$34,358,850",2021
Anthony Davis,"$32,742,000",2021
Damian Lillard,"$31,626,953",2021
Pascal Siakam,"$30,559,200",2021
Kyle Lowry,"$30,500,000",2021
Joel Embiid,"$29,542,010",2021
Nikola Jokic,"$29,542,010",2021
Devin Booker,"$29,467,800",2021
CJ McCollum,"$29,354,152",2021
D'Angelo Russell,"$28,649,250",2021
Otto Porter Jr.,"$28,489,237",2021
Giannis Antetokounmpo,"$27,528,090",2021
Al Horford,"$27,500,000",2021
Brandon Ingram,"$27,285,000",2021
Stephen Curry,"$37,457,154",2018
Paul Millsap,"$31,269,231",2018
Gordon Hayward,"$29,727,900",2018
Russell Westbrook,"$28,530,608",2018
DeMar DeRozan,"$27,739,975",2018
Carmelo Anthony,"$26,243,760",2018
Otto Porter Jr.,"$26,011,913",2018
Bradley Beal,"$25,434,263",2018
Hassan Whiteside,"$25,434,262",2018
Chris Paul,"$24,599,495",2018
Kevin Love,"$24,119,025",2018
CJ McCollum,"$23,962,573",2018
Anthony Davis,"$23,775,506",2018
Chandler Parsons,"$23,112,004",2018
Marc Gasol,"$22,642,350",2018
Steven Adams,"$22,471,910",2018
Serge Ibaka,"$21,666,667",2018
Victor Oladipo,"$21,000,000",2018
Ryan Anderson,"$19,578,455",2018
Jimmy Butler,"$19,301,070",2018
Blake Griffin,"$32,088,932",2018
Kyle Lowry,"$31,200,000",2018
Mike Conley,"$28,530,608",2018
